Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-01-07,2625.402587890625,2666.9980509975235,2597.2250024733644,2661.9337997185553,3717827
2021-01-08,2701.668701171875,2707.8150410781145,2648.9494967068513,2674.91958981182,5879039
2021-01-11,2749.756103515625,2796.112751935151,2723.8726675326607,2796.112751935151,9508039
2021-01-12,2748.370849609375,2778.7990474759436,2726.8588783642435,2749.7557939786334,3611458
2021-01-13,2734.606689453125,2750.2320665668194,2706.2993384024294,2748.500727525858,3572801
2021-01-14,2819.387451171875,2833.0911027124794,2706.3759988473803,2736.3852530408303,6931542
2021-01-15,2804.339111328125,2839.5954577091984,2784.0871775340647,2805.7700994774764,4131692
2021-01-18,2794.27783203125,2824.633919288515,2764.485415981287,2818.7795310317565,4160906
2021-01-19,2828.060791015625,2843.9327361008795,2803.1688328996775,2804.036149989065,2975735
2021-01-20,2869.778076171875,2886.3871093851058,2833.611005365385,2836.1261395670062,3453446
2021-01-21,2839.46630859375,2870.0824342929236,2829.2753321804253,2866.4831528543914,2778546
2021-01-22,2864.834716796875,2883.828873399442,2811.7547497893943,2811.7547497893943,3052459
2021-01-25,2854.6005859375,2896.6654619330093,2843.628898449041,2869.9086468328132,2272887
2021-01-27,2828.36376953125,2867.7398714023216,2798.831587254303,2862.1457198448093,2786662
2021-01-28,2772.42236328125,2840.4633436209647,2761.3640708747866,2801.4340763040354,3083938
2021-01-29,2698.526611328125,2790.0285473235554,2688.68247948657,2784.1307498578026,5445659
2021-02-01,2722.811279296875,2745.0578721399497,2640.1993480737056,2688.6822760296504,3985846
2021-02-02,2778.406005859375,2796.2294087390983,2732.047964493846,2752.8635680328466,2881837
2021-02-03,2775.457763671875,2806.637766972181,2743.0199813438967,2786.6894762922184,2505866
2021-02-04,2765.396728515625,2808.242313539117,2754.598674675003,2789.3347613949722,2057261
2021-02-05,2738.94384765625,2780.4884615810297,2713.8350612985905,2774.503846861505,2366135
2021-02-08,2787.643310546875,2797.9642968748694,2736.5148103056554,2766.307230279726,2526592
2021-02-09,2755.37939453125,2815.1376650902857,2744.191089516285,2771.0779175109137,2658751
2021-02-10,2786.949462890625,2792.2399689811728,2738.3797160414965,2762.4043520441965,2127983
2021-02-11,2780.6181640625,2792.153521939731,2762.4479161633303,2788.4240166752766,1165882
2021-02-12,2767.43505859375,2814.8772549896066,2759.8026268300505,2761.7106818341476,2777404
2021-02-15,2723.2451171875,2783.2199975335957,2716.0463443987987,2783.2199975335957,2630853
2021-02-16,2696.31494140625,2747.356416200862,2688.682509996156,2732.048356931578,3435770
2021-02-17,2665.35205078125,2717.174243346874,2641.4574242446233,2693.1061957536344,3678426
2021-02-18,2651.691162109375,2686.8606897331606,2628.83727922257,2658.3260510779205,4189909
2021-02-19,2664.267333984375,2677.537112309935,2615.95761633869,2652.2549109868482,3725028
2021-02-22,2565.913818359375,2685.213308575286,2552.6438265198617,2685.213308575286,5366696
2021-02-23,2584.778076171875,2626.235871043088,2574.1968511413097,2575.9314851380354,3832829
2021-02-24,2556.936767578125,2604.8560212428843,2533.562410193609,2577.665554600263,3774549
2021-02-25,2597.87451171875,2627.883551244727,2574.586966831345,2579.400618270045,4224073
2021-02-26,2510.275146484375,2577.969267498008,2497.8724734507728,2567.257819935516,5553153
2021-03-01,2536.208251953125,2571.5948268268826,2516.780436442631,2537.769464855129,3265871
2021-03-02,2607.457763671875,2623.6331361595453,2556.8497472391205,2567.257548109836,3306469
2021-03-03,2653.20947265625,2657.459241182454,2599.26218680881,2632.307048625571,3509857
2021-03-04,2645.056884765625,2672.594202349618,2615.871749410973,2621.89956083186,3916760
2021-03-05,2608.932861328125,2656.7653076598276,2599.0021243430324,2615.91480530581,3203686
2021-03-08,2607.97900390625,2630.5726557786415,2598.4819244025093,2615.828265686905,2003125
2021-03-09,2646.14111328125,2659.974778934964,2595.099628042051,2607.979160169022,1942397
2021-03-10,2663.48681640625,2682.7846176102144,2653.989738612634,2666.999492233284,3053778
2021-03-12,2652.211669921875,2703.4267751760967,2637.81433644156,2666.999465404715,2938317
2021-03-15,2659.323974609375,2687.815423184263,2637.511036432186,2637.511036432186,3097083
2021-03-16,2697.39892578125,2724.2423410746646,2653.9896732532548,2653.9896732532548,4894756
2021-03-17,2699.914306640625,2736.3850274060687,2675.933077232486,2693.0191791112024,3838390
2021-03-18,2633.60791015625,2728.9693661508304,2590.7191294669396,2711.1893687333422,3656306
2021-03-19,2645.490234375,2687.815345737692,2606.287548867946,2627.9704735673467,5776626
2021-03-22,2714.398193359375,2722.897941147131,2618.1260195174214,2644.1889341547226,2821646
2021-03-23,2725.630615234375,2748.52770039675,2708.5011036904066,2723.375506230923,3305973
2021-03-24,2706.9833984375,2734.0436487376264,2698.3534241722164,2698.396832375288,2207104
2021-03-25,2658.196533203125,2715.439453933757,2645.316791339809,2699.263865194064,3179786
2021-03-26,2659.88818359375,2704.2947777486856,2639.289402012117,2680.5735698388994,3697370
2021-03-30,2739.46435546875,2765.397050989307,2654.7707171015195,2673.938508919204,4694008
2021-03-31,2756.202880859375,2779.7504481628434,2716.4363193903355,2736.384606537838,3530069
2021-04-01,2745.05810546875,2788.4239523165975,2727.711766729611,2767.695162222246,4285076
2021-04-05,2809.153076171875,2830.0555015349146,2732.915993054403,2750.262333854494,5317862
2021-04-06,2831.529296875,2840.462702839493,2801.4334443271946,2840.462702839493,2291562
2021-04-07,2837.3408203125,2842.6749470447644,2805.5971443641874,2826.5861739415063,2491268
2021-04-08,2877.194091796875,2892.5021519199554,2832.700688010083,2836.1265477595966,2578118
2021-04-09,2881.443359375,2909.284314518921,2869.084094457822,2908.980668927308,2911129
2021-04-12,2815.7880859375,2895.191000687045,2786.8629789060474,2881.443941356318,3791828
2021-04-13,2692.1953125,2787.55677204421,2665.3084861361635,2787.55677204421,8654596
2021-04-15,2791.849853515625,2807.721796048167,2677.797674604409,2740.9817991031937,6062760
2021-04-16,2771.20751953125,2816.1779856768385,2760.32286179011,2800.56628141377,3224657
2021-04-19,2742.282470703125,2765.873446777105,2719.125153056046,2748.527109701049,2679106
2021-04-20,2727.32177734375,2797.4010349028745,2711.536649930642,2797.097389246974,3141893
